Tiempo en seg,Referencia,Salida,Estado 1 (VC1),Control (Vi)
120382.4384921,0.59,0.59,1.15,1.79
120382.495992,0.59,0.6,1.16,1.76
120382.5555214,0.59,0.59,1.15,1.79
120382.6057325,0.59,0.6,1.16,1.78
120382.6588183,0.59,0.6,1.16,1.78
120382.7118189,0.59,0.59,1.16,1.76
120382.7661614,0.59,0.59,1.15,1.79
120382.8197288,0.59,0.6,1.16,1.78
120382.8731893,0.59,0.6,1.16,1.78
120382.9290138,0.59,0.6,1.16,1.78
120382.9863121,0.59,0.6,1.16,1.76
120383.0387376,0.59,0.6,1.15,1.78
120383.092554,0.59,0.6,1.16,1.78
120383.1495582,0.59,0.59,1.16,1.78
120383.2000724,0.59,0.59,1.15,1.79
120383.253889,0.59,0.59,1.16,1.78
120383.3130594,0.59,0.6,1.15,1.78
120383.370898,0.59,0.6,1.15,1.76
120383.4274259,0.59,0.6,1.15,1.76
120383.4867019,0.59,0.6,1.16,1.78
120383.5402364,0.59,0.6,1.16,1.78
120383.5904345,0.59,0.6,1.15,1.78
120383.6429357,0.59,0.6,1.15,1.78
120383.6941002,0.59,0.59,1.16,1.78
120383.7442405,0.59,0.61,1.16,1.78
120383.7950881,0.59,0.6,1.16,1.76
120383.854237,0.59,0.6,1.16,1.76
120383.9097058,0.59,0.6,1.15,1.76
120383.9602406,0.59,0.6,1.15,1.78
120384.0114235,0.59,0.6,1.15,1.78
120384.0630175,0.59,0.59,1.16,1.78
120384.1149878,0.59,0.59,1.15,1.77
120384.1653365,0.59,0.6,1.16,1.78
120384.2276594,0.59,0.6,1.16,1.76
120384.2803868,0.59,0.6,1.15,1.78
120384.3310265,0.59,0.6,1.16,1.76
120384.3824949,0.59,0.6,1.16,1.78
120384.4334945,0.59,0.6,1.16,1.78
120384.4930174,0.59,0.59,1.16,1.78
120384.5552545,0.59,0.6,1.15,1.78
120384.608174,0.59,0.6,1.15,1.78
120384.6583196,0.59,0.59,1.16,1.79
120384.7184318,0.59,0.59,1.16,1.79
120384.7689684,0.59,0.59,1.16,1.76
120384.8229316,0.59,0.6,1.16,1.78
120384.8731177,0.59,0.6,1.16,1.76
120384.9257958,0.59,0.59,1.15,1.79
120384.9759931,0.59,0.6,1.16,1.78
120385.0275753,0.59,0.59,1.16,1.76
120385.0780018,0.59,0.59,1.15,1.77
120385.1281418,0.59,0.61,1.16,1.78
120385.1899967,0.59,0.61,1.15,1.76
120385.2409803,0.59,0.6,1.16,1.76
120385.2979189,0.59,0.59,1.15,1.77
120385.3569464,0.59,0.6,1.15,1.76
120385.4196548,0.59,0.6,1.15,1.78
120385.4711825,0.59,0.59,1.15,1.79
120385.5334118,0.59,0.6,1.15,1.78
120385.5866214,0.59,0.61,1.15,1.78
120385.6368625,0.59,0.61,1.16,1.75
120385.6892931,0.59,0.61,1.15,1.76
120385.7424348,0.59,0.61,1.15,1.78
120385.7958299,0.59,0.6,1.15,1.77
120385.8539079,0.59,0.61,1.15,1.78
120385.915895,0.59,0.6,1.15,1.78
120385.9775108,0.59,0.61,1.15,1.78
120386.0284662,0.59,0.6,1.16,1.78
120386.0912034,0.59,0.6,1.16,1.78
120386.1456443,0.59,0.6,1.15,1.78
120386.1992648,0.59,0.6,1.15,1.78
120386.2545712,0.59,0.61,1.16,1.78
120386.3057324,0.59,0.6,1.16,1.78
120386.3577852,0.59,0.6,1.15,1.76
120386.4114288,0.59,0.61,1.16,1.78
120386.4623486,0.59,0.61,1.15,1.78
120386.5127453,0.59,0.61,1.15,1.78
120386.5629218,0.59,0.6,1.15,1.78
120386.6269963,0.59,0.61,1.15,1.78
120386.6775983,0.59,0.61,1.15,1.76
120386.7277395,0.59,0.59,1.15,1.79
120386.7830767,0.59,0.6,1.15,1.76
120386.85002,0.59,0.6,1.16,1.78
120386.9002765,0.59,0.61,1.15,1.76
120386.962116,0.59,0.6,1.15,1.78
120387.0237812,0.59,0.6,1.15,1.78
120387.0742014,0.59,0.6,1.15,1.78
120387.1246143,0.59,0.6,1.15,1.78
120387.177704,0.59,0.6,1.15,1.76
120387.2342513,0.59,0.6,1.15,1.78
120387.2868118,0.59,0.6,1.15,1.78
120387.3379236,0.59,0.6,1.15,1.78
120387.3884702,0.59,0.6,1.16,1.78
120387.4499608,0.59,0.61,1.15,1.78
120387.5063532,0.59,0.6,1.15,1.78
120387.561031,0.59,0.6,1.16,1.78
120387.6121147,0.59,0.59,1.15,1.77
120387.6639145,0.59,0.6,1.15,1.78
120387.7169465,0.59,0.61,1.16,1.78
120387.7686483,0.59,0.61,1.16,1.78
120387.8321603,0.59,0.61,1.16,1.76
120387.8854475,0.59,0.6,1.16,1.78
120387.9449181,0.59,0.6,1.15,1.78
120388.0075921,0.59,0.6,1.15,1.78
120388.0642777,0.59,0.61,1.16,1.78
120388.1169998,0.59,0.59,1.15,1.77
120388.1694399,0.59,0.61,1.16,1.78
120388.2203545,0.59,0.61,1.15,1.78
120388.2716008,0.59,0.61,1.16,1.78
120388.3346744,0.59,0.6,1.16,1.78
120388.3982783,0.59,0.6,1.15,1.78
120388.451439,0.59,0.61,1.16,1.76
120388.5049352,0.59,0.6,1.16,1.76
120388.5551017,0.59,0.6,1.16,1.76
120388.6055986,0.59,0.6,1.15,1.76
120388.6559971,0.59,0.6,1.15,1.76
120388.7061496,0.59,0.61,1.16,1.78
120388.7563349,0.59,0.61,1.16,1.78
120388.8071873,0.59,0.61,1.15,1.78
120388.8573407,0.59,0.6,1.15,1.76
120388.9089736,0.59,0.62,1.15,1.78
120388.9622799,0.59,0.6,1.15,1.76
120389.0127515,0.59,0.61,1.15,1.78
120389.0632264,0.59,0.61,1.15,1.78
120389.123678,0.59,0.6,1.16,1.78
120389.1864433,0.59,0.6,1.15,1.78
120389.2456362,0.59,0.61,1.15,1.78
120389.3012896,0.59,0.61,1.15,1.78
120389.3520542,0.59,0.6,1.15,1.78
120389.4192438,0.59,0.6,1.16,1.78
120389.4729191,0.59,0.6,1.15,1.78
120389.5252738,0.59,0.6,1.16,1.78
120389.5758574,0.59,0.61,1.15,1.78
120389.7478338,0.59,0.6,1.16,1.76
120389.7999861,0.59,0.6,1.15,1.78
120389.8506205,0.59,0.61,1.15,1.76
120389.9725358,0.59,0.6,1.15,1.78
120390.0230337,0.59,0.6,1.15,1.78
120390.0782311,0.59,0.6,1.15,1.78
120390.1313309,0.59,0.6,1.16,1.78
120390.1850374,0.59,0.6,1.15,1.78
120390.2703156,0.59,0.6,1.16,1.78
120390.3266904,0.59,0.62,1.16,1.77
120390.3816271,0.59,0.62,1.16,1.77
120390.4324323,0.59,0.6,1.15,1.78
120390.4891993,0.59,0.6,1.15,1.78
120390.5448145,0.59,0.59,1.16,1.76
120390.7215173,0.59,0.62,1.17,1.77
120390.7738328,0.59,0.63,1.17,1.77
120390.8404207,0.59,0.62,1.16,1.75
120390.8917772,0.6,0.61,1.16,1.79
120390.9432029,0.59,0.61,1.15,1.76
120391.0021778,0.59,0.61,1.16,1.78
120391.0591201,0.59,0.61,1.15,1.78
120391.112835,0.59,0.61,1.15,1.78
120391.1685987,0.59,0.61,1.15,1.78
120391.2210516,0.59,0.6,1.15,1.78
120391.2720214,0.59,0.6,1.15,1.76
120391.3242841,0.59,0.61,1.15,1.78
120391.3781222,0.59,0.61,1.15,1.76
120391.4370938,0.59,0.6,1.15,1.78
120391.4911032,0.59,0.61,1.15,1.78
120391.541714,0.59,0.61,1.16,1.78
120391.5935121,0.59,0.62,1.15,1.76
120391.6444906,0.59,0.62,1.16,1.77
120391.6994922,0.59,0.61,1.15,1.78
120391.7701908,0.59,0.62,1.15,1.76
120391.8232501,0.59,0.61,1.15,1.76
120391.8764003,0.59,0.61,1.15,1.76
120391.9400781,0.59,0.61,1.16,1.78
120391.9909407,0.59,0.61,1.15,1.76
120392.0485123,0.59,0.6,1.15,1.78
120392.100035,0.59,0.6,1.15,1.76
120392.1523206,0.59,0.6,1.15,1.78
120392.2083687,0.59,0.6,1.15,1.78
120392.2777716,0.59,0.6,1.15,1.78
120392.3387307,0.59,0.6,1.15,1.78
120392.4107619,0.59,0.6,1.15,1.76
120392.4888736,0.59,0.6,1.15,1.78
120392.5675093,0.59,0.6,1.15,1.76
120392.6226881,0.59,0.6,1.15,1.78
120392.6817918,0.59,0.6,1.15,1.76
120392.7405505,0.59,0.6,1.16,1.76
120392.8026697,0.59,0.61,1.15,1.76
120392.8552663,0.59,0.6,1.15,1.78
120392.9091123,0.59,0.6,1.15,1.78
120392.9602234,0.59,0.6,1.15,1.78
120393.0108593,0.59,0.6,1.15,1.76
120393.0830457,0.59,0.6,1.15,1.78
120393.1408583,0.59,0.6,1.16,1.78
120393.1945087,0.59,0.61,1.15,1.76
120393.2503519,0.59,0.6,1.15,1.78
120393.3110006,0.59,0.6,1.15,1.76
120393.3647078,0.59,0.61,1.15,1.78
120393.4229521,0.59,0.6,1.15,1.78
120393.4752914,0.59,0.6,1.15,1.76
120393.5265701,0.59,0.59,1.15,1.79
120393.5804827,0.59,0.6,1.15,1.78
120393.6311828,0.59,0.59,1.15,1.77
120393.6814997,0.59,0.6,1.16,1.78
120393.7356351,0.59,0.6,1.15,1.78
120393.7904124,0.59,0.61,1.16,1.78
120393.8413758,0.59,0.61,1.16,1.78
120393.8934281,0.59,0.6,1.16,1.78
120393.9498055,0.59,0.59,1.16,1.76
120394.0006974,0.59,0.6,1.15,1.78
120394.0565046,0.59,0.6,1.15,1.76
120394.1223796,0.59,0.6,1.15,1.78
120394.1858949,0.59,0.6,1.15,1.78
120394.2397818,0.59,0.61,1.15,1.78
120394.3122703,0.59,0.62,1.15,1.77
120394.3634129,0.59,0.62,1.16,1.77
120394.4247991,0.59,0.62,1.16,1.77
120394.4765176,0.59,0.62,1.16,1.77
120394.5385563,0.59,0.63,1.15,1.77
120394.6722171,0.59,0.62,1.16,1.77
120394.7285317,0.59,0.62,1.15,1.76
120394.7831781,0.59,0.62,1.16,1.77
120394.8346055,0.59,0.62,1.15,1.78
120394.8851059,0.59,0.62,1.16,1.77
120394.9372734,0.59,0.62,1.16,1.75
120394.9925793,0.59,0.63,1.15,1.75
120395.0477577,0.59,0.62,1.15,1.76
120395.1082963,0.59,0.61,1.16,1.78
120395.1671991,0.59,0.63,1.16,1.77
120395.2193274,0.59,0.62,1.15,1.78
120395.2739531,0.6,0.62,1.16,1.79
120395.326233,0.59,0.61,1.16,1.78
120395.3903326,0.59,0.62,1.15,1.78
120395.4518638,0.59,0.62,1.15,1.78
120395.5157801,0.59,0.61,1.15,1.76
120395.5797437,0.59,0.62,1.15,1.78
120395.6384174,0.59,0.62,1.15,1.78
120395.6926112,0.59,0.61,1.15,1.76
120395.7541532,0.59,0.62,1.16,1.77
120395.8093683,0.59,0.62,1.15,1.77
120395.860222,0.59,0.62,1.16,1.77
120395.9117328,0.59,0.62,1.16,1.77
120395.9635477,0.59,0.62,1.15,1.77
120396.0194843,0.59,0.61,1.15,1.78
